file_name	field	present	n_non_null
frangieh_2021_rna.h5ad	guide_id	True	218331
frangieh_2021_rna.h5ad	celltype	True	218331
frangieh_2021_rna.h5ad	MOI	True	218331
frangieh_2021_rna.h5ad	UMI_count	True	218331
frangieh_2021_rna.h5ad	perturbation	True	218331
frangieh_2021_rna.h5ad	disease	True	218331
frangieh_2021_protein.h5ad	guide_id	True	218331
frangieh_2021_protein.h5ad	celltype	True	218331
frangieh_2021_protein.h5ad	MOI	True	218331
frangieh_2021_protein.h5ad	UMI_count	True	218331
frangieh_2021_protein.h5ad	perturbation	True	218331
frangieh_2021_protein.h5ad	disease	True	218331
