matrix	axis	n_targets	direction_match	spearman	spearman_p
untreated_regulatory_matrix.csv	immune_evasion_antigen_presentation	141	0.6170212765957447	0.22926495141059117	0.006244458508535829
untreated_regulatory_matrix.csv	ifn_jak_stat_response	141	0.5390070921985816	0.16224581531743654	0.05458455641923521
untreated_regulatory_matrix.csv	t_cell_interaction_or_cytokine_response	141	0.5957446808510638	0.306893306179531	0.0002143729898288196
untreated_regulatory_matrix.csv	melanoma_state_or_stress_control	141	0.5531914893617021	0.3085633313240798	0.00019715886021162633
treated_regulatory_matrix.csv	immune_evasion_antigen_presentation	183	0.644808743169399	0.3790681952469826	1.2123103121707222e-07
treated_regulatory_matrix.csv	ifn_jak_stat_response	183	0.6557377049180327	0.45610857424827494	8.663863533791163e-11
treated_regulatory_matrix.csv	t_cell_interaction_or_cytokine_response	183	0.6229508196721312	0.583574835713111	4.3382171410832076e-18
treated_regulatory_matrix.csv	melanoma_state_or_stress_control	183	0.5519125683060109	0.20277775637385925	0.005905361934760734
cocx_regulatory_matrix.csv	immune_evasion_antigen_presentation	181	0.56353591160221	0.36883064540624894	3.238453585715998e-07
cocx_regulatory_matrix.csv	ifn_jak_stat_response	181	0.5911602209944752	0.3835731487665189	9.821949116354182e-08
cocx_regulatory_matrix.csv	t_cell_interaction_or_cytokine_response	181	0.6353591160220995	0.46427928158207943	4.603871401212232e-11
cocx_regulatory_matrix.csv	melanoma_state_or_stress_control	181	0.5414364640883977	0.18024363061679735	0.015180261649737998
