claim_level_group	dataset	biological_finding	evidence_basis	allowed_interpretation	forbidden_interpretation	next_validation
Level 3.5	GSE202639_ZSCAPE	Perturbation-aware developmental TED separates delay/loss/fate-redirection candidates.	delay=861; true_loss=390; fate_redirection=22; embryo_block_rows=250	perturbation/multiome/lineage-supported mechanism candidate	functional or causal mechanism claim	evidence_from_functional_validation
Level 3.5	GSE271399	GATA1s/T21 context supports erythroid regulatory-to-output mechanism candidate.	sign_consistent_rows=21; CI_supported_rows=10; negative_control_rows=42	perturbation/multiome/lineage-supported mechanism candidate	functional or causal mechanism claim	evidence_from_functional_validation
Level 3	GSE126954_C_elegans	Lineage tree supports sister/branch priming candidate.	prebranch_rows=335; sister_rows=169; lineage_edge_rows=507	perturbation/multiome/lineage-supported mechanism candidate	functional or causal mechanism claim	evidence_from_functional_validation
Level 3	GSE235510_osmotic_RNA_peak_event	Osmotic multiome data now support RNA/peak-layer event candidate, but not full chromatin-first mechanism.	RNA and peak event tables plus shuffled peak-gene null.	Level 3 RNA/peak-layer event candidate.	Level 3.5 chromatin-first mechanism claim.	Real motif activity, motif-target concordance, stronger peak-gene concordance, and cell-type-specific lag.
Level 2.5	GSE152766_Arabidopsis_root	SHR/SCR root identity gate is recovered as plant identity disruption scaffold.	root_identity_rows=16; plant_driver_rows=16; negative-control axes included	annotation/scaffold or matrix-level candidate	functional or causal mechanism claim	evidence_from_event_FDR; evidence_from_block_robustness
Level 2.5	GSE186069_mouse_prenatal	GSE186069_mouse_prenatal supports rna_developmental_timing at its current claim ceiling.	Dataset-specific dynamic event grammar from metadata/annotation.	annotation/scaffold or matrix-level candidate	functional or causal mechanism claim	evidence_from_event_FDR; evidence_from_block_robustness
Level 2.5	GSE190130_drosophila_sciATAC	GSE190130_drosophila_sciATAC supports chromatin_accessibility_priming at its current claim ceiling.	Runability and coarse dynamic modality grammar.	annotation/scaffold or matrix-level candidate	functional or causal mechanism claim	evidence_from_event_FDR; evidence_from_block_robustness
Level 2.5	GSE190147_drosophila_sciRNA	GSE190147_drosophila_sciRNA supports rna_developmental_timing at its current claim ceiling.	Dataset-specific dynamic event grammar from metadata/annotation.	annotation/scaffold or matrix-level candidate	functional or causal mechanism claim	evidence_from_event_FDR; evidence_from_block_robustness
Level 2.5	GSE226097_Arabidopsis_lifecycle	GSE226097_Arabidopsis_lifecycle supports plant_lifecycle_atlas; spatial_context at its current claim ceiling.	Lifecycle/spatial grammar scaffold and conversion priority.	annotation/scaffold or matrix-level candidate	functional or causal mechanism claim	evidence_from_event_FDR; evidence_from_block_robustness
Level 2.5	GSE228590_mouse_prenatal_companion	GSE228590_mouse_prenatal_companion supports rna_developmental_timing at its current claim ceiling.	Runability and coarse dynamic modality grammar.	annotation/scaffold or matrix-level candidate	functional or causal mechanism claim	evidence_from_event_FDR; evidence_from_block_robustness
Level 2.5	GSE235494_GSE235510_osmotic_multiome	Original osmotic multiome scaffold supports chromatin/RNA lag hypothesis positioning.	chromatin_first_candidates=3; lag_rows=3	annotation/scaffold or matrix-level candidate	functional or causal mechanism claim	evidence_from_event_FDR; evidence_from_block_robustness
Level 2	Paul15	Lineage sanity benchmark supports expected lineage programs.	expected_programs_supported=6.0; expected_programs_not_supported=1.0; branch_event_rows=28	event-FDR supported	functional or causal mechanism claim	evidence_from_annotation_or_matrix_scaffold
Level 1	CNP0004389_callus_induction	CNP0004389_callus_induction supports callus_reprogramming at its current claim ceiling.	Dataset inclusion, runability, and hypothesis positioning.	descriptive trend	functional or causal mechanism claim	evidence_from_event_FDR
Level 1	GSE155254_negative_control	Negative-control dataset is correctly treated as not comparable.	correctly treated as not comparable for TED-Development core benchmark without developmental time/lineage/perturbation block	descriptive trend	functional or causal mechanism claim	evidence_from_event_FDR
Level 1	GSE190149_drosophila_superseries	GSE190149_drosophila_superseries supports multiome_lag at its current claim ceiling.	Dataset inclusion, runability, and hypothesis positioning.	descriptive trend	functional or causal mechanism claim	evidence_from_event_FDR
Level 1	PRJCA016521_deetiolation	PRJCA016521_deetiolation supports light_deetiolation at its current claim ceiling.	Dataset inclusion, runability, and hypothesis positioning.	descriptive trend	functional or causal mechanism claim	evidence_from_event_FDR
