reviewer_attack	response_strategy	supporting_outputs	release_response	residual_limitation
TED is a complex pipeline, not a new method.	TED's central contribution is the claim-aware event object and evidence-gated claim ceiling, not a single score.	ted_object_schema_maintext.tsv; claim_ceiling_level_definitions.tsv; phase4_ablation_summary.tsv	Emphasize object-level contribution and ablation evidence.	Complexity remains; workflow diagram must be clear.
How is TED different from tradeSeq, CellRank, GSVA, AUCell, VISION, CINEMA-OT or WOT?	Those methods solve upstream tasks; TED consumes or compares their outputs and formalizes the downstream event-and-claim layer.	external_method_positioning_table.tsv; baseline_two_layer_comparison.tsv; direct_external_baseline_registry.tsv	TED does not replace trajectory inference, fate mapping, module scoring or OT matching.	Direct wrappers cover representative packages but not every possible external workflow.
Baseline suite is too weak.	Use task-specific baselines plus direct package wrappers for tradeSeq/GSVA/AUCell/POT and a package-complete Docker baseline environment.	phase4_6_baseline_metric_table.tsv; benchmark_compact_table.tsv; direct_external_baseline_metric_table.tsv; direct_external_baseline_docker_report.md	Both baselines and TED detect signal, but TED improves event-type accuracy, artifact rejection and overclaim control.	Direct external package execution is complete in Dockerfile.baselines; package versions and exit codes are recorded in the execution manifest.
Synthetic benchmark is too easy.	Adversarial sweeps test low signal, dropout, imbalance, missing time, batch confounding and artifacts.	phase4_5_performance_ci.tsv; phase4_5_failure_modes.tsv	Low-identifiability settings are downgraded rather than overclaimed.	More external ground-truth datasets would help.
No wet-lab validation means no causal mechanism.	Agree; TED encodes this as a claim ceiling.	final_claim_matrix.tsv; gse292039_gene_id_mapping_and_level4b_resolution.tsv	GSE271399 is Level 3.5, not Level 4; GSE292039 does not pass Level 4B.	Strict Level 4 requires future rescue experiments.
TED is only tuned to GSE271399/ZSCAPE.	Generalization panel spans GSE199308, GSE123013, GSE127202 and GSE157977.	gse199308_main_figure_panel_table.tsv; gse123013_claim_discipline_panel.tsv; ted_adapter_generalization_compact_panel.tsv	TED preserves evidence levels across full, lite and adapter analyses.	Some systems remain adapters/scaffolds, not full TED.
TED depends on hand-picked markers.	Axis-free modules, marker-dependency audits and curated-vs-axis-free concordance test marker dependence.	gse199308_curated_vs_axisfree_concordance.tsv; gse123013_axisfree_stress_adjusted_concordance.tsv	Curated and data-driven modules are compared; markers do not automatically become claims.	Axis-free modules require interpretation and annotation.
GSE199308 streaming/pseudobulk may be biased.	Use stratified streaming, sampling-confidence shrinkage and prefix-vs-stratified concordance.	gse199308_stratified_streaming_summary.tsv; gse199308_prefix_vs_stratified_concordance.tsv	Claim is embryo-block/pseudobulk event grammar only, not cell-type fate loss.	Full matrix refit with cell-state annotation would be stronger.
GSE123013 weakens the plant generalization claim.	It is intentionally presented as claim discipline: signal is detected but downgraded under stress controls.	gse123013_stress_adjusted_fate_switch.tsv; gse123013_claim_discipline_panel.tsv	TED refuses overclaiming when stress/housekeeping/wound controls dominate.	Not a strong plant root mechanism.
GSE157977 lacks target-gene mapping.	It is explicitly an adapter demonstration at guide-barcode level.	gse157977_claim_ceiling.tsv; gse157977_guide_pseudobulk_effects.tsv	No target-gene-specific neural fate claim is made.	Needs guide-target map and cell-state annotation for stronger claims.
GSE292039 should upgrade the rescue claim.	Gene mapping completed, but rescue-style alignment did not pass.	gse292039_gene_id_mapping_and_level4b_resolution.tsv; public_rescue_alignment_score.tsv	Public functional alignment was tested and did not support Level 4B.	Own wet-lab rescue remains missing.
Cross-species claims are too broad.	Compress to dynamic event grammar and avoid one-to-one orthology claims.	event_grammar_compressed_classes.tsv; extended_data_figure_plan_v1.tsv	The claim is process-level grammar, not conserved causal genes.	Functional conservation is not claimed.
