axis	protein_name	n_cells	spearman	spearman_p	pearson	pearson_p	partial_spearman_adjusted_UMI_MOI	partial_spearman_p	direction_match	level	alignment_pass	n_units	direction_match_fraction	outcome_alignment_pass
immune_evasion_antigen_presentation	HLA_A	195303.0	0.44965422717569625	0.0	0.418255705086515	0.0	0.4857981822163512	0.0	True	cell	True			True
immune_evasion_antigen_presentation	CD274	195303.0	0.4806332312273338	0.0	0.5034482498135846	0.0	0.48175351880605194	0.0	True	cell	True			True
immune_evasion_antigen_presentation	CD58	195303.0	-0.16785020556864227	0.0	-0.18005332381363048	0.0	-0.19969839169829856	0.0	True	cell	True			True
ifn_jak_stat_response	CD119	195303.0	0.004407979276917974	0.05141261307276129	0.03144293534801593	6.427295190529813e-44	0.022530540167513907	2.3235958883310247e-23	True	cell	False			False
ifn_jak_stat_response	CD274	195303.0	0.437827251303732	0.0	0.41631305583297296	0.0	0.45793825805020205	0.0	True	cell	True			True
ifn_jak_stat_response	HLA_A	195303.0	0.14660394730132295	0.0	0.14925904702496065	0.0	0.19223016770338952	0.0	True	cell	True			True
t_cell_interaction_or_cytokine_response	CD274	195303.0	0.3821862427002148	0.0	0.3702939180036707	0.0	0.40327507822227043	0.0	True	cell	True			True
t_cell_interaction_or_cytokine_response	CD58	195303.0	0.09793682544945959	0.0	0.10817878050099429	0.0	0.12575162818467428	0.0	True	cell	True			True
t_cell_interaction_or_cytokine_response	CD47	195303.0	0.1438105462371181	0.0	0.1719985725492647	0.0	0.19252881861805407	0.0	True	cell	True			True
t_cell_interaction_or_cytokine_response	CD59	195303.0	0.10225776268136892	0.0	0.11460721692572817	0.0	0.12852676193488766	0.0	True	cell	True			True
immune_evasion_antigen_presentation	HLA_A		0.5650246315588918	1.0056137628115996e-63						guide	True	741.0	0.6963562753036437	True
immune_evasion_antigen_presentation	CD274		0.47653544287109345	2.8305190345239805e-43						guide	True	741.0	0.6572199730094467	True
immune_evasion_antigen_presentation	CD58		-0.19538039190472167	8.26322129626944e-08						guide	False	741.0	0.43724696356275305	False
ifn_jak_stat_response	CD119		0.06793883268560529	0.06454475396285096						guide	False	741.0	0.524966261808367	False
ifn_jak_stat_response	CD274		0.4371902769122234	6.088152642380232e-36						guide	True	741.0	0.6383265856950068	True
ifn_jak_stat_response	HLA_A		0.19554260656544672	8.058062736773889e-08						guide	False	741.0	0.5506072874493927	False
t_cell_interaction_or_cytokine_response	CD274		0.440665622790747	1.4951554478567743e-36						guide	True	741.0	0.6329284750337382	True
t_cell_interaction_or_cytokine_response	CD58		0.07410281283171055	0.04374315651808845						guide	False	741.0	0.5425101214574899	False
t_cell_interaction_or_cytokine_response	CD47		0.3299906003977504	2.774831771908966e-20						guide	True	741.0	0.6261808367071525	True
t_cell_interaction_or_cytokine_response	CD59		0.19692081181654175	6.502651588125192e-08						guide	False	741.0	0.5748987854251012	False
immune_evasion_antigen_presentation	HLA_A		0.5491462507783799	8.866320722124213e-21						target	True	246.0	0.6829268292682927	True
immune_evasion_antigen_presentation	CD274		0.4906056349665372	2.6456126509420885e-16						target	True	246.0	0.6788617886178862	True
immune_evasion_antigen_presentation	CD58		-0.1452939505020928	0.022646363644557105						target	False	246.0	0.4634146341463415	False
ifn_jak_stat_response	CD119		0.0893038009120899	0.16261427579440563						target	False	246.0	0.5487804878048781	False
ifn_jak_stat_response	CD274		0.39339530815782414	1.5681318815935392e-10						target	True	246.0	0.6219512195121951	True
ifn_jak_stat_response	HLA_A		0.24854914020510935	8.13122668401658e-05						target	True	246.0	0.5609756097560976	True
t_cell_interaction_or_cytokine_response	CD274		0.45065585432356015	1.0451233457820427e-13						target	True	246.0	0.6788617886178862	True
t_cell_interaction_or_cytokine_response	CD58		-0.000720240698234463	0.9910327645379206						target	False	246.0	0.45528455284552843	False
t_cell_interaction_or_cytokine_response	CD47		0.2695759769297271	1.817427507879805e-05						target	True	246.0	0.556910569105691	True
t_cell_interaction_or_cytokine_response	CD59		0.08643734772471245	0.17658579233406044						target	False	246.0	0.4715447154471545	False
